strategy,puzzle_file,runtime,backtracks,max_depth,recursive_calls
1,puzzles\puzzleHard_1.cnf,1.9538207054138184,15,0,43
2,puzzles\puzzleHard_1.cnf,1.7176885604858398,3,0,14
3,puzzles\puzzleHard_1.cnf,152.40093803405762,403,0,814
1,puzzles\puzzleHard_10.cnf,2.2898316383361816,5,0,20
2,puzzles\puzzleHard_10.cnf,3.8210859298706055,41,0,98
3,puzzles\puzzleHard_10.cnf,1204.9738073349,2941,0,5911
1,puzzles\puzzleHard_11.cnf,3.0811495780944824,83,0,172
2,puzzles\puzzleHard_11.cnf,2.0464181900024414,10,0,46
3,puzzles\puzzleHard_11.cnf,587.6791014671326,1294,0,2663
1,puzzles\puzzleHard_12.cnf,2.202059507369995,19,0,55
2,puzzles\puzzleHard_12.cnf,1.6059021949768066,0,0,9
3,puzzles\puzzleHard_12.cnf,162.88859343528748,416,0,913
1,puzzles\puzzleHard_13.cnf,8.370561361312866,519,0,1063
2,puzzles\puzzleHard_13.cnf,3.0483624935150146,35,0,88
3,puzzles\puzzleHard_13.cnf,1598.6698441505432,4523,0,9080
1,puzzles\puzzleHard_14.cnf,1.9045922756195068,0,0,6
2,puzzles\puzzleHard_14.cnf,3.9425997734069824,4,0,14
3,puzzles\puzzleHard_14.cnf,1270.8747942447662,3099,0,6213
1,puzzles\puzzleHard_15.cnf,2.2825047969818115,0,0,6
2,puzzles\puzzleHard_15.cnf,2.094414710998535,7,0,20
3,puzzles\puzzleHard_15.cnf,3663.207736492157,7772,0,15602
1,puzzles\puzzleHard_16.cnf,2.137450933456421,0,0,2
2,puzzles\puzzleHard_16.cnf,2.2066545486450195,3,0,13
3,puzzles\puzzleHard_16.cnf,31.078299283981323,92,0,207
1,puzzles\puzzleHard_17.cnf,2.1083180904388428,0,0,2
2,puzzles\puzzleHard_17.cnf,2.243253469467163,3,0,15
3,puzzles\puzzleHard_17.cnf,65.52716279029846,270,0,583
1,puzzles\puzzleHard_18.cnf,2.293757200241089,4,0,17
2,puzzles\puzzleHard_18.cnf,2.3099896907806396,1,0,9
3,puzzles\puzzleHard_18.cnf,65.41449451446533,176,0,378
1,puzzles\puzzleHard_19.cnf,2.002147912979126,0,0,10
2,puzzles\puzzleHard_19.cnf,5.474890232086182,44,0,104
3,puzzles\puzzleHard_19.cnf,3685.671777486801,8237,0,16536
1,puzzles\puzzleHard_2.cnf,3.0576817989349365,0,0,5
2,puzzles\puzzleHard_2.cnf,3.6406002044677734,11,0,39
3,puzzles\puzzleHard_2.cnf,199.76448273658752,340,0,716
1,puzzles\puzzleHard_20.cnf,9.91512131690979,238,0,500
2,puzzles\puzzleHard_20.cnf,11.481407403945923,112,0,247
3,puzzles\puzzleHard_20.cnf,7766.003708124161,20340,0,40781
1,puzzles\puzzleHard_21.cnf,1.6415870189666748,9,0,25
2,puzzles\puzzleHard_21.cnf,2.2827260494232178,0,0,5
3,puzzles\puzzleHard_21.cnf,3020.855835914612,10658,0,21416
1,puzzles\puzzleHard_22.cnf,1.4224274158477783,0,0,5
2,puzzles\puzzleHard_22.cnf,1.579291582107544,1,0,8
3,puzzles\puzzleHard_22.cnf,237.24033498764038,737,0,1491
1,puzzles\puzzleHard_23.cnf,1.532883644104004,0,0,6
2,puzzles\puzzleHard_23.cnf,1.4379630088806152,0,0,3
3,puzzles\puzzleHard_23.cnf,15.725071907043457,15,0,72
1,puzzles\puzzleHard_24.cnf,1.5014586448669434,2,0,10
2,puzzles\puzzleHard_24.cnf,2.8295726776123047,18,0,47
3,puzzles\puzzleHard_24.cnf,1268.5085520744324,4354,0,8805
1,puzzles\puzzleHard_25.cnf,1.469785451889038,1,0,10
2,puzzles\puzzleHard_25.cnf,1.6572167873382568,9,0,27
3,puzzles\puzzleHard_25.cnf,444.44168305397034,1904,0,3860
1,puzzles\puzzleHard_26.cnf,1.4384920597076416,0,0,1
2,puzzles\puzzleHard_26.cnf,1.4066030979156494,0,0,1
3,puzzles\puzzleHard_26.cnf,1.4383034706115723,0,0,1
1,puzzles\puzzleHard_27.cnf,2.220637083053589,52,0,119
2,puzzles\puzzleHard_27.cnf,2.454122304916382,2,0,25
